,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
370,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
371,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
372,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
373,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
374,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
375,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
376,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
377,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
378,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
379,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
380,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
381,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
382,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
383,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
384,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
385,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
386,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
387,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
388,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
389,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
390,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
391,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
392,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
393,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
394,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
395,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
396,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
397,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
398,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
399,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
400,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
401,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
402,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
403,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
404,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
405,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
406,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
407,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
408,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
409,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
410,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
411,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
412,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
413,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
414,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
415,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
416,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
417,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
418,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
419,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
420,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
421,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
422,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
423,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
424,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
425,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
426,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
427,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
428,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
429,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
430,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
431,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
432,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
433,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
434,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
435,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
436,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
437,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
438,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
439,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
440,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
441,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
442,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
443,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
444,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
445,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
446,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
447,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
448,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
449,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
450,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
451,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
452,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
453,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
454,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
455,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
456,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
457,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
458,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
459,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
460,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
461,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
462,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
463,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
464,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
465,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
466,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
467,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
468,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
469,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
470,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
471,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
472,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
473,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
474,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
475,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
476,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
477,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
478,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
479,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
480,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
481,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
482,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
483,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
484,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
485,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
486,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
487,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
488,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
489,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
490,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
491,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
492,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
493,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
494,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
495,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
496,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
497,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
498,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
499,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
500,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
501,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
502,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
503,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
504,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
505,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
506,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
507,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
508,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
509,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
510,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
511,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
512,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
513,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
514,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
515,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
516,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
517,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
518,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
519,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
520,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
521,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
522,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
523,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
524,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
525,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
526,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
527,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
528,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
529,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
530,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
531,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
532,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
533,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
534,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
535,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
536,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
537,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
538,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
539,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
540,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
541,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
542,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
543,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
544,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
545,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
546,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
547,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
548,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
549,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
550,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
551,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
552,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
553,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
554,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
555,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
556,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
557,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
558,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
559,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
560,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
561,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
562,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
563,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
564,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
565,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
566,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
567,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
568,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
569,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
570,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
571,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
572,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
573,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
574,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
575,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
576,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
577,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
578,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
579,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
580,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
581,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
582,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
583,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
584,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
585,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
586,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
587,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
588,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
589,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
590,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
591,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
592,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
593,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
594,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
595,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
596,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
597,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
598,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
599,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
600,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
601,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
602,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
603,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
604,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
605,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
606,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
607,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
608,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
609,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
610,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
611,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
612,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
613,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
614,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
615,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
616,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
617,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
618,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
619,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
620,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
621,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
622,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
623,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
624,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
625,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
626,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
627,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
628,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
629,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
630,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
631,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
632,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
633,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
634,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
635,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
636,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
637,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
638,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
639,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
640,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
641,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
642,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
643,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
644,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
645,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
646,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
647,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
648,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
649,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
650,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
651,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
652,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
653,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
654,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
655,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
656,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
657,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
658,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
659,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
660,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
661,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
662,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
663,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
664,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
665,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
666,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
667,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
668,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
669,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
670,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
671,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
672,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
673,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
674,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
675,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
676,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
677,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
678,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
679,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
680,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
681,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
682,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
683,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
684,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
685,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
686,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
687,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
688,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
689,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
690,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
691,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
692,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
693,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
694,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
695,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
696,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
697,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
698,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
699,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
700,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
701,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
702,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
703,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
704,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
705,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
706,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
707,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
708,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
709,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
710,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
711,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
712,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
713,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
714,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
715,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
716,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
717,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
718,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
719,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
720,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
721,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
722,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
723,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
724,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
725,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
726,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
727,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
728,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
729,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
730,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
731,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
732,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
733,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
734,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
735,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
736,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
737,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
738,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
739,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
